scenario_id,scenario_name,primary_stress,range_band,trial_id,config,RMSE_3D_m,FDE_0p3s_m,lock_loss_binary,TFTL_s,cueing_success_binary,modality_switches,p99_tick_latency_ms,notes
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,48,B1,2.374,2.066,1,,,0,0.797,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,48,B3,1.654,1.232,1,,,0,1.17,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,48,B4,1.602,1.233,0,0.878,,0,2.335,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,48,B6,1.476,1.114,0,0.196,1,0,2.373,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,48,Ours,1.04,0.873,0,0.211,0,2,2.466,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,49,B1,1.941,1.584,1,,,0,0.759,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,49,B3,1.425,1.092,1,,,0,1.208,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,49,B4,1.543,1.312,0,0.849,,0,2.275,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,49,B6,1.482,1.171,0,0.185,1,0,2.38,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,49,Ours,0.984,0.808,0,0.198,1,3,2.51,
